date,R_cong_obs,curtail_payment,replacement,curtailed_MWh,binding_periods
2022-05-27,2614093.3708417346,988515.985972221,1625577.3848695143,17593.965277777777,40
2022-05-28,61902.79779166668,7836.550027777774,54066.24776388888,385.92083333333346,8
2022-05-29,0.0,0.0,0.0,0.0,0
2022-05-30,0.0,0.0,0.0,0.0,0
2022-05-31,0.0,0.0,0.0,0.0,0
2022-06-01,0.0,0.0,0.0,0.0,0
2022-06-02,0.0,0.0,0.0,0.0,0
2022-06-03,0.0,0.0,0.0,0.0,0
2022-06-04,0.0,0.0,0.0,0.0,0
2022-06-05,0.0,0.0,0.0,0.0,0
2022-06-06,0.0,0.0,0.0,0.0,0
2022-06-07,0.0,0.0,0.0,0.0,0
2022-06-08,0.0,0.0,0.0,0.0,0
2022-06-09,487022.0667256945,225693.74318055544,261328.3235451388,3681.9649305555545,29
2022-06-10,6824606.20434374,3633865.017901317,3190741.1864424516,52431.8634542453,48
2022-06-11,16331979.77943117,8225785.918154919,8106193.861276301,101074.22846729716,48
2022-06-12,11748403.677894816,4313389.415431725,7435014.262463065,62764.77144097195,48
2022-06-13,134793.15418285495,44061.98583333333,90731.16834952169,776.7749999999999,13
2022-06-14,480.0183333333334,172.83333333333334,307.185,2.0333333333333328,4
2022-06-15,4553.270319444444,1460.229166666667,3093.0411527777774,17.179166666666664,17
2022-06-16,94886.91173807878,25290.37227615249,69596.53946192631,429.6875775709221,48
2022-06-17,7404397.846817728,2251606.970924184,5152790.875893526,36578.83765514185,48
2022-06-18,10463799.592823481,3044720.868699974,7419078.724123479,44950.85248226947,48
2022-06-19,5473511.552331234,1704926.5703587933,3768584.9819724467,26489.39421296301,44
2022-06-20,11006.731249999999,3470.1985833333333,7536.532666666665,52.65833333333333,3
2022-06-21,0.0,0.0,0.0,0.0,0
2022-06-22,106363.88038105788,22593.824513002346,83770.05586805553,401.6978575650117,47
2022-06-23,2930.4203472222225,684.6527777777776,2245.7675694444442,9.386111111111115,15
2022-06-24,0.0,0.0,0.0,0.0,0
2022-06-25,3884856.996083335,1420348.3074999982,2464508.688583335,22246.213888888917,37
2022-06-26,5945997.566644706,1791850.7521980167,4154146.81444668,28583.494499236534,48
2022-06-27,705826.7120923229,257598.3089120368,448228.4031802863,4120.750925925925,17
2022-06-28,4999742.603568656,1435506.2460806759,3564236.357487982,24463.37558362884,48
2022-06-29,229253.65283111652,61747.37890972223,167506.27392139446,1068.7458333333334,19
2022-06-30,0.0,0.0,0.0,0.0,0
2022-07-01,0.0,0.0,0.0,0.0,0
2022-07-02,0.0,0.0,0.0,0.0,0
2022-07-03,408234.60026806523,103702.15418749997,304532.44608056505,1762.2535011574087,48
2022-07-04,2712550.9089753106,749701.443508681,1962849.4654666292,12545.29904513889,48
2022-07-05,50607.63761619226,8878.169583333332,41729.46803285893,155.8994212962963,48
2022-07-06,6815400.630764264,1472082.0880624994,5343318.542701755,24381.125000000022,45
2022-07-07,566669.490958333,99500.07712499997,467169.41383333306,1812.9208333333336,13
2022-07-08,987447.1643611117,232989.2410625001,754457.9232986124,4040.2916666666674,23
2022-07-09,209950.64669444444,39464.127416666655,170486.51927777776,711.5638888888891,5
2022-07-10,0.0,0.0,0.0,0.0,0
2022-07-11,989566.6702218523,165174.71135167952,824391.9588701725,2829.5623337765956,48
2022-07-12,1800877.5627956158,328833.7536669621,1472043.8091286572,5673.093902679275,48
2022-07-13,6194923.538533971,1161497.6645138918,5033425.874020065,19127.61458333335,47
2022-07-14,34430.877236111104,5835.403444444442,28595.473791666656,111.43472222222225,4
2022-07-15,88524.96412500001,20578.43891666667,67946.52520833335,349.0791666666667,11
2022-07-16,55838.765374999995,12211.515083333334,43627.250291666656,226.6416666666667,24
2022-07-17,0.0,0.0,0.0,0.0,0
2022-07-18,0.0,0.0,0.0,0.0,0
2022-07-19,298348.6440208333,30587.337749999995,267761.3062708333,504.48333333333335,6
2022-07-20,78731.6721527778,7620.1072499999955,71111.56490277775,242.54999999999993,13
2022-07-21,30566.95915277778,8154.231222222224,22412.727930555564,136.31250000000006,16
2022-07-22,0.0,0.0,0.0,0.0,0
2022-07-23,3074964.331578456,665369.2514005617,2409595.0801778934,10227.913999704502,48
2022-07-24,1282178.4343439757,301239.4544861111,980938.9798578649,5212.568750000001,18
2022-07-25,3741471.8481805576,854457.6915555556,2887014.1566250036,14398.102777777793,39
2022-07-26,88951.94076431236,17024.302291666667,71927.63847264567,300.56875,11
2022-07-27,0.0,0.0,0.0,0.0,0
2022-07-28,762345.4920069446,117071.97571527766,645273.5162916675,2142.3868055555554,18
2022-07-29,826101.4876115837,113185.24715543736,712916.2404561456,1949.6118351063828,48
